Disease,Analysis,Gene Name,P-value,LogFC,Direction,Pathway,Drug_ID
Breast Cancer,RNA-Seq Differential Expression,NR4A3,0.0147450831425758,2.62036344609603,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4755698
Breast Cancer,RNA-Seq Differential Expression,NR4A3,0.0147450831425758,2.62036344609603,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1873475
Breast Cancer,RNA-Seq Differential Expression,NR4A3,0.0147450831425758,2.62036344609603,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL682
Breast Cancer,RNA-Seq Differential Expression,NR4A3,0.0147450831425758,2.62036344609603,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL76
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL81463
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL76898
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL420761
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL310163
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL80447
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL77558
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL418908
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL292340
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL310312
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL2369843
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4096699
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL525619
Breast Cancer,RNA-Seq Differential Expression,HLA-DPA1,0.0093352021279355,2.04372583153926,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4059893
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL525748
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL502642
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL455792
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL499438
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL500184
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL503520
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL566340
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL569918
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL568525
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL569280
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL568067
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL3126388
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL3126396
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4752382
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4793978
