Gene,Log2FC,P-Value,Direction,Pathway,Drug_ID,Target_ID
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL420761,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL310163,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL80447,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL77558,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL418908,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL292340,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL310312,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL2369843,CHEMBL3831291
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4096699,CHEMBL4105869
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL525619,CHEMBL4105869
HLA-DPA1,2.04372583153926,0.0093352021279355,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4059893,CHEMBL4105869
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL525748,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL502642,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL455792,CHEMBL2826
